m/z,intensity
1451.166700,1.19440000e+04
1451.167100,8.01600000e+03
1451.167700,4.63400000e+03
1451.168500,2.95600000e+03
1451.414700,3.42100000e+03
1451.415300,2.65800000e+03
1451.415500,7.90700000e+03
1451.415800,7.35000000e+02
1451.416800,1.16200000e+03
1451.417800,4.35000000e+02
1451.418900,9.62000000e+02
1451.419200,1.22400000e+03
1451.419700,1.25000000e+03
1451.419900,1.00600000e+03
1451.421800,1.08400000e+03
1451.421900,1.28500000e+03
1451.422600,9.19000000e+02
1451.423600,2.40900000e+03
1451.668900,3.34700000e+03
1451.669100,7.59000000e+02
1451.672800,4.24000000e+02
1451.674200,7.59000000e+03
1451.677800,6.55500000e+03
1454.936900,5.07400000e+03
1454.945400,4.44100000e+03
1454.946000,2.65400000e+03
1454.946100,4.27000000e+02
1454.946300,8.99000000e+02
1454.946900,4.44000000e+02
1454.947300,3.53700000e+03
1454.947700,9.79000000e+02
1454.948300,2.53400000e+03
1454.948500,2.14900000e+03
1454.949800,9.17000000e+02
1454.950000,1.61100000e+03
1454.950200,1.06200000e+03
1454.950300,2.55400000e+03
1454.951100,1.56500000e+03
1454.952700,9.45000000e+02
1454.958900,1.01200000e+03
1455.199300,1.68800000e+03
1455.200900,1.52000000e+03
1455.201100,5.68900000e+03
1455.201500,9.49000000e+02
1455.201600,1.36700000e+03
1455.201900,1.25400000e+03
1455.203200,8.73000000e+02
1455.203300,1.55800000e+03
1455.203500,9.12000000e+02
1455.203600,9.43000000e+02
1455.203700,6.41500000e+03
1455.204500,3.55200000e+03
1455.206800,1.09000000e+03
1455.207300,9.09000000e+02
1455.448000,8.54000000e+02
1455.452100,1.15000000e+03
1455.452600,2.80900000e+03
1455.452700,6.32000000e+02
1455.453200,1.18100000e+03
1455.453700,1.11100000e+03
1455.457000,2.27600000e+03
1455.701700,1.61300000e+03
1764.723800,8.86000000e+02
1764.725100,1.98500000e+03
1764.728400,1.77800000e+03
1764.733600,1.44900000e+03
1765.038000,1.96200000e+03
1765.038100,1.51100000e+03
1765.040600,3.21800000e+03
1765.041900,1.35000000e+03
1765.042000,7.27000000e+02
1765.042400,4.04000000e+02
1765.042500,1.06200000e+03
1765.042600,1.49900000e+03
1765.042800,9.24000000e+02
1765.043000,1.93900000e+03
1765.043500,1.53700000e+03
1765.046400,1.42100000e+03
1765.046800,1.48400000e+03
1765.047300,1.15600000e+03
1765.047400,1.54000000e+03
1765.052200,1.09100000e+03
1765.348000,1.14900000e+03
1765.349500,1.00100000e+03
1765.351600,1.78100000e+03
1765.354500,2.00800000e+03
1765.355600,9.40000000e+02
1765.355900,1.54000000e+03
1765.356300,2.17000000e+03
1765.356500,9.04000000e+02
1765.357800,1.20100000e+03
1765.358700,1.31100000e+03
1765.360200,9.31000000e+02
1765.360500,1.30400000e+03
1765.363100,1.68200000e+03
1765.365100,9.56000000e+02
1765.368600,9.20000000e+02
1765.664600,9.52000000e+02
2560.289900,1.65200000e+03
2560.382900,1.08200000e+03
2560.389200,1.49900000e+03
2560.389400,1.09100000e+03
2560.439600,9.65000000e+02
2560.456300,1.07900000e+03
2560.476600,1.23900000e+03
2560.525800,8.88000000e+02
2560.554200,1.16200000e+03
2560.556400,1.74300000e+03
2560.561100,1.08600000e+03
2560.569400,1.07300000e+03
2560.573800,8.64000000e+02
2560.575400,1.43300000e+03
2560.579800,1.32600000e+03
2560.591200,4.81000000e+02
2560.599200,1.66100000e+03
2560.599600,1.04510000e+04
2560.600900,1.81600000e+03
2560.603600,8.89000000e+02
2560.607900,1.37600000e+03
2560.624900,1.37000000e+03
2560.627200,1.11500000e+03
2560.642500,1.49000000e+03
2560.643900,9.32000000e+02
2560.651800,1.16700000e+03
2560.658500,1.08000000e+03
2560.666000,8.51000000e+02
2560.678400,9.41000000e+02
2560.686600,5.45600000e+03
2560.690000,1.17600000e+03
2560.712500,4.59000000e+02
2560.713500,6.43000000e+02
2560.730100,2.96200000e+03
2560.730900,3.91000000e+02
2560.736300,1.22400000e+03
2560.741400,1.56000000e+03
2560.742300,1.69800000e+03
2560.744900,1.01600000e+03
2560.749400,1.25200000e+03
2560.749900,5.00300000e+03
2560.752500,9.92000000e+02
2560.758500,1.42700000e+03
2560.762900,9.36000000e+02
2560.766500,1.38200000e+03
2560.766700,1.75300000e+03
2560.776000,2.11300000e+03
2560.778000,1.26500000e+03
2560.778200,4.43000000e+02
2560.780300,1.15000000e+03
2560.781500,1.19500000e+03
2560.782000,9.28000000e+02
2560.783400,9.49000000e+02
2560.786200,2.04500000e+03
2560.787700,1.44800000e+03
2560.789800,7.56000000e+02
2560.797900,9.88000000e+02
2560.805000,1.20600000e+03
2560.806000,9.01000000e+02
2560.814000,9.56000000e+02
2560.818000,2.20900000e+03
2560.818900,4.22000000e+02
2560.820400,1.62800000e+03
2560.830800,1.44200000e+03
2560.833400,1.65400000e+03
2560.833800,6.00000000e+02
2560.838400,1.50800000e+03
2560.842400,1.72900000e+03
2560.846700,9.45000000e+02
2560.851900,1.01800000e+03
2560.854400,8.52000000e+02
2560.855300,9.84000000e+02
2560.858900,1.10100000e+03
2560.861000,2.30800000e+03
2560.863500,9.94000000e+02
2560.864800,8.59000000e+02
2560.865400,4.42000000e+02
2560.866200,1.17000000e+03
2560.866600,1.43000000e+03
2560.868100,1.25200000e+03
2560.869600,9.77000000e+02
2560.871400,1.76800000e+03
2560.878000,7.07000000e+02
2560.882500,1.35500000e+03
2560.899300,1.69800000e+03
2560.902400,1.02400000e+03
2560.904100,8.02000000e+02
2560.911000,1.75100000e+03
2560.919100,8.61000000e+02
2560.921500,1.17500000e+03
2560.922400,1.49900000e+03
2560.923100,1.50800000e+03
2560.926900,1.89100000e+03
2560.937400,1.51100000e+03
2560.937800,1.84900000e+03
2560.944000,1.17000000e+03
2560.951400,1.88400000e+03
2560.990300,2.55200000e+03
2561.001400,3.27600000e+03
2561.003500,1.33000000e+03
2561.003900,1.07300000e+03
2561.019600,2.28600000e+03
2561.019800,1.81900000e+03
2561.021200,2.20100000e+03
2561.036900,2.74200000e+03
2561.037400,5.93000000e+02
2561.040700,1.51600000e+03
2561.048300,1.44200000e+03
2561.051000,1.44300000e+03
2561.055200,1.02700000e+03
2561.056400,1.80900000e+03
2561.057700,9.57000000e+02
2561.058800,9.99000000e+02
2561.059700,8.83000000e+02
2561.060600,9.10000000e+02
2561.070100,2.22300000e+03
2561.070700,1.28600000e+03
2561.071400,1.36500000e+03
2561.071900,1.84700000e+03
2561.073400,1.00700000e+03
2561.073800,1.00000000e+03
2561.074800,1.18000000e+03
2561.080000,9.30000000e+02
2561.085000,1.26500000e+03
2561.089100,8.56000000e+02
2561.091100,9.32000000e+02
2561.093400,9.40000000e+02
2561.100300,2.78200000e+03
2561.102100,1.75600000e+03
2561.105600,1.53000000e+03
2561.106700,2.89700000e+03
2561.109100,3.62600000e+03
2561.109200,1.67700000e+03
2561.110200,1.32400000e+03
2561.110700,2.23700000e+03
2561.121300,8.77000000e+02
2561.122300,5.98000000e+02
2561.122700,2.78100000e+03
2561.122900,2.02400000e+03
2561.125200,1.76300000e+03
2561.125600,1.01800000e+03
2561.128000,8.38000000e+02
2561.128100,1.83400000e+03
2561.128400,9.09000000e+02
2561.130200,8.66000000e+02
2561.131900,1.38500000e+03
2561.132400,1.09100000e+03
2561.139000,1.06500000e+03
2561.143100,7.51000000e+02
2561.145200,2.05800000e+03
2561.145300,9.75000000e+02
2561.146200,2.35100000e+03
